word,prompt
cannon,"Transparent square PNG image of cannon, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
capsule,"Transparent square PNG image of capsule, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
catfish,"Transparent square PNG image of catfish, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
catnap,"Transparent square PNG image of catnap, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
catnip,"Transparent square PNG image of catnip, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
caveman,"Transparent square PNG image of caveman, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
canyon,"Transparent square PNG image of canyon, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
cashbox,"Transparent square PNG image of cashbox, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
chapel,"Transparent square PNG image of chapel, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
chestnut,"Transparent square PNG image of chestnut, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
chicken,"Transparent square PNG image of chicken, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
chipmunk,"Transparent square PNG image of chipmunk, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
chopstick,"Transparent square PNG image of chopstick, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
classmate,"Transparent square PNG image of classmate, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
coastline,"Transparent square PNG image of coastline, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
cobweb,"Transparent square PNG image of cobweb, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
costume,"Transparent square PNG image of costume, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
cotton,"Transparent square PNG image of cotton, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
cradle,"Transparent square PNG image of cradle, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
cricket,"Transparent square PNG image of cricket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
crocodile,"Transparent square PNG image of crocodile, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
curbside,"Transparent square PNG image of curbside, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
cycle,"Transparent square PNG image of cycle, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
dentist,"Transparent square PNG image of dentist, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
desktop,"Transparent square PNG image of desktop, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
dishcloth,"Transparent square PNG image of dishcloth, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
dishpan,"Transparent square PNG image of dishpan, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
dishrag,"Transparent square PNG image of dishrag, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
dolphin,"Transparent square PNG image of dolphin, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
duckling,"Transparent square PNG image of duckling, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
dustbin,"Transparent square PNG image of dustbin, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
eggplant,"Transparent square PNG image of eggplant, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
fabric,"Transparent square PNG image of fabric, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
fireman,"Transparent square PNG image of fireman, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
firestone,"Transparent square PNG image of firestone, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
fishnet,"Transparent square PNG image of fishnet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
flapjack,"Transparent square PNG image of flapjack, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
flashbulb,"Transparent square PNG image of flashbulb, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
fossil,"Transparent square PNG image of fossil, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
foxhole,"Transparent square PNG image of foxhole, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
gallon,"Transparent square PNG image of gallon, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
goblin,"Transparent square PNG image of goblin, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
gopher,"Transparent square PNG image of gopher, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
grapevine,"Transparent square PNG image of grapevine, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
gumdrop,"Transparent square PNG image of gumdrop, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
hairstyle,"Transparent square PNG image of hairstyle, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
handshake,"Transparent square PNG image of handshake, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
hatbox,"Transparent square PNG image of hatbox, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
helmet,"Transparent square PNG image of helmet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
hemline,"Transparent square PNG image of hemline, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
hipbone,"Transparent square PNG image of hipbone, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
homeplate,"Transparent square PNG image of homeplate, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
hotdog,"Transparent square PNG image of hotdog, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
hubcap,"Transparent square PNG image of hubcap, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
hurricane,"Transparent square PNG image of hurricane, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
infant,"Transparent square PNG image of infant, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
insect,"Transparent square PNG image of insect, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
instep,"Transparent square PNG image of instep, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
iron,"Transparent square PNG image of iron, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
jacket,"Transparent square PNG image of jacket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
jackpot,"Transparent square PNG image of jackpot, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
kitchen,"Transparent square PNG image of kitchen, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
kitten,"Transparent square PNG image of kitten, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
knapsack,"Transparent square PNG image of knapsack, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
ladle,"Transparent square PNG image of ladle, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
landscape,"Transparent square PNG image of landscape, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
laptop,"Transparent square PNG image of laptop, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
lemonade,"Transparent square PNG image of lemonade, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
limestone,"Transparent square PNG image of limestone, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
linnet,"Transparent square PNG image of linnet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
lipstick,"Transparent square PNG image of lipstick, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
locket,"Transparent square PNG image of locket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
locksmith,"Transparent square PNG image of locksmith, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
magnet,"Transparent square PNG image of magnet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
mammal,"Transparent square PNG image of mammal, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
maypole,"Transparent square PNG image of maypole, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
